_id,tanggal,jam,title,deskripsi
107,2017-06-15T00:00:00,14:00:00,RDP Komisi VIII DPR RI dengan Kepala Badan Keahlian DPR RI.    DITUNDA,Presentasi/Laporan Kepala BKD mengenai perkembangan penyusunan drat RUU tentang Praktik Pekerjaan Sosial beserta naskah akademiknya.
108,2017-06-15T00:00:00,14:00:00,Rapat Timsin RUU Pengelenggaraan Pemilihan Umum dengan Pemerintah,Agenda : mensinkronkan draf akhir RUU tentang Penyelenggaraan Pemilu.
109,2017-06-15T00:00:00,15:00:00,Rapat Kerja Komisi I DPR RI dengan Menlu RI.,Pembahasan RKA KL & RKP KL Kemlu RI & Isu aktual.
110,2017-06-15T00:00:00,16:00:00,Badan Anggaran DPR RI - Rapat Panja Kebijakan Transfer ke Daerah dan Dana Desa dengan Pemerintah,Membahas Transfer ke Daerah dan Dana Desa
111,2017-06-17T00:00:00,08:00:00,Ketua DPR RI melakukan kunjungan ke Makasar Provinsi Sulawesi Selatan,Dalam rangka Safari Ramadhan
112,2017-06-18T00:00:00,08:00:00,Ketua DPR RI melakukan kunjungan ke Provinsi Bali,Dalam rangka Safari Ramadhan
113,2017-06-19T00:00:00,08:00:00,"Ketua DPR RI melakukan kunjungan ke Tegal, Brebes dan Cirebon",Dalam rangka acara Safari Ramadhon dan penijauan tol Brexit.
114,2017-06-19T00:00:00,10:00:00,Rapat Panja Badan Legislasi - RUU Penyiaran,.
115,2017-06-19T00:00:00,10:00:00,Rapat Kerja Pansus RUU Penyelenggaraan Pemilihan Umum dengan Pemerintah,Agenda : Laporan Hasil Lobby-lobby sikap terakhir lima isu krusial
116,2017-06-19T00:00:00,10:00:00,Rapat Kerja Komisi VI DPR RI dengan Menteri Perdagangan,Rapat Kerja lanjutan tanggal 5 Juni 2017 dan membahas PP No 16/M.-Dag/PERr/2017 tentang Perdagangan Gula Kristal Ravinasi melalui Pasar  Lelang Komoditas
117,2017-06-19T00:00:00,13:00:00,Rapat Badan Legislasi-Pengambilan Keputusan Harmonisasi RUU Konservasi Sumber Daya Alam Hatai dan Ekosistemnya,.
118,2017-06-19T00:00:00,13:00:00,Rapat Panja RUU Penyelenggaraan Pemilihan Umum dengan Pemerintah,Agenda : Laporan Timus/Timsin kepada Panja
119,2017-06-19T00:00:00,14:00:00,Rapat Kerja Pansus RUU Penyelenggaraan Pemilihan Umum dengan Pemerintah,"Agenda :
1. Pengantar Ketua Rapat;
2. Laporan Panja Kepada Pansus;
3. Pendapat Akhir Mini Fraksi-Fraksi;
4. Pengambilan Keputusan;
5. Pembacaan Naskah RUU;
6. Sambutan Pemerintah;
7. Penandatanganan Naskah RUU."
120,2017-06-22T00:00:00,08:00:00,Ketua DPR RI melakukan Sidak,Melakukan kunjungan inspeksi mendadak (sidak) ke Stasiun Pasar Senen bersama Menteri Perhubungan dan Dirut PT KAI dalam rangka persiapan Mudik Lebaran 2017.
